# LABEL 検査の据え置き分 (file	ラベル	リンク先title	リンク先パス)。手編集せず
# node tools/checkJaTranslation.js --update-label-baseline で再生成する。
# 減らす方向の再生成のみ可。増える再生成は新規違反の隠蔽なので禁止。
docs/ja/develop/4-4-news-template.md	公式アップデートページ	参加のはじめ方	develop/1-start.md
docs/ja/event/badends/badend-84.md	西武林盟シナリオルートに進む必要がある	衆人の決断	event/detailed_description/3-12-1-眾人的決策.md
docs/ja/event/detailed_description/3-08-2-武林大會.md	劉顎	無名	people/characters/special406.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	四師兄遠遊経商	四師兄、商いの長旅へ	event/detailed_description/3-08-1-四師兄遠遊經商.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	西武林大会	東西武林盟会戦	event/detailed_description/4-02-2-東西武林盟會戰.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	西武林大会	東西武林盟会戦	event/detailed_description/4-02-2-東西武林盟會戰.md
docs/ja/event/detailed_description/3-12-1-眾人的決策.md	飛煙子	観雲客	people/characters/special202.md
docs/ja/event/detailed_description/4-02-2-東西武林盟會戰.md	上官準	上官隼	people/characters/special407.md
docs/ja/event/detailed_description/4-02-2-東西武林盟會戰.md	上官準	上官隼	people/characters/special407.md
docs/ja/event/detailed_description/4-02-2-東西武林盟會戰.md	上官準	上官隼	people/characters/special407.md
docs/ja/event/detailed_description/4-02-2-東西武林盟會戰.md	唐大鯨	許大鯨	people/characters/big_shock1.md
